ORIGIN,DEST,PAYLOAD,DISTANCE,SEATS,PASSENGERS,DEPARTURES_PERFORMED,CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN_NAME,DEST_NAME
WTK,OTZ,3242100.0,48.0,8280.0,3132.0,1065.0,"['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Lynden Air Cargo Airlines']",15861,13970,"Noatak, AK: Noatak Airport","Kotzebue, AK: Ralph Wien Memorial"
AET,CXF,6400.0,82.0,26.0,7.0,3.0,['Wright Air Service'],10184,11214,"Allakaket, AK: Allakaket Airport","Coldfoot, AK: Coldfoot Airport"
AKP,CXF,214320.0,73.0,882.0,397.0,98.0,['Warbelow' 'Wright Air Service'],10247,11214,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport","Coldfoot, AK: Coldfoot Airport"
ARC,CXF,6370.0,136.0,27.0,12.0,3.0,['Warbelow'],10349,11214,"Arctic Village, AK: Arctic Village Airport","Coldfoot, AK: Coldfoot Airport"
BRW,CXF,6226.0,322.0,27.0,16.0,3.0,['Warbelow'],10754,11214,"Barrow, AK: Wiley Post/Will Rogers Memorial","Coldfoot, AK: Coldfoot Airport"
BTT,CXF,56678.0,43.0,252.0,75.0,28.0,['Warbelow' 'Wright Air Service'],10783,11214,"Bettles, AK: Bettles Airport","Coldfoot, AK: Coldfoot Airport"
FAI,CXF,1701972.0,181.0,9052.0,5790.0,1009.0,"['Warbelow' 'Wright Air Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",11630,11214,"Fairbanks, AK: Fairbanks International","Coldfoot, AK: Coldfoot Airport"
FYU,CXF,1646.0,143.0,9.0,0.0,1.0,['Warbelow'],11833,11214,"Fort Yukon, AK: Fort Yukon Airport","Coldfoot, AK: Coldfoot Airport"
SCC,CXF,7301.0,209.0,27.0,8.0,3.0,['Warbelow'],14709,11214,"Deadhorse, AK: Deadhorse Airport","Coldfoot, AK: Coldfoot Airport"
TAL,CXF,1474.0,153.0,9.0,2.0,1.0,['Warbelow'],15124,11214,"Tanana, AK: Ralph M Calhoun Memorial","Coldfoot, AK: Coldfoot Airport"
WBQ,CXF,2490.0,98.0,9.0,4.0,1.0,['Warbelow'],15725,11214,"Beaver, AK: Beaver Airport","Coldfoot, AK: Coldfoot Airport"
WCR,CXF,19198.0,49.0,72.0,17.0,8.0,['Warbelow'],15731,11214,"Chandalar, AK: Chandalar Lake","Coldfoot, AK: Coldfoot Airport"
A26,FAI,2422.0,333.0,9.0,3.0,1.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],10039,11630,"Ivotuk, AK: Ivotuk Airstrip","Fairbanks, AK: Fairbanks International"
A27,FAI,93740.0,91.0,432.0,97.0,48.0,['Warbelow'],10040,11630,"Pogo Mines, AK: Pogo Mines Airport","Fairbanks, AK: Fairbanks International"
A63,FAI,7266.0,142.0,27.0,9.0,3.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],10076,11630,"Yukon Charley Rivvers, AK: Coal Creek","Fairbanks, AK: Fairbanks International"
ABL,FAI,4570.0,323.0,17.0,4.0,2.0,"['Hageland Aviation Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",10139,11630,"Ambler, AK: Ambler River","Fairbanks, AK: Fairbanks International"
ADQ,FAI,41000.0,513.0,72.0,40.0,2.0,['Frontier Flying Service' 'Alaska Airlines Inc.'],10170,11630,"Kodiak, AK: Kodiak Airport","Fairbanks, AK: Fairbanks International"
AET,FAI,999269.0,182.0,2983.0,1564.0,363.0,"['Warbelow' 'Hageland Aviation Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Frontier Flying Service'
 'Lynden Air Cargo Airlines']",10184,11630,"Allakaket, AK: Allakaket Airport","Fairbanks, AK: Fairbanks International"
AIN,FAI,153210.0,513.0,212.0,59.0,18.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Hageland Aviation Service'
 'Lynden Air Cargo Airlines' 'Era Aviation']",10225,11630,"Wainwright, AK: Wainwright Airport","Fairbanks, AK: Fairbanks International"
AK5,FAI,124140.0,391.0,560.0,274.0,16.0,['Era Aviation'],16580,11630,"Qugruc, AK: Qugruc Airport","Fairbanks, AK: Fairbanks International"
AK7,FAI,4844.0,79.0,18.0,0.0,2.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],16584,11630,"Rampart, AK: Hunter Creek","Fairbanks, AK: Fairbanks International"
AKP,FAI,2611032.0,254.0,7847.0,2490.0,922.0,"['Warbelow' 'Hageland Aviation Service' 'Wright Air Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Frontier Flying Service' 'Lynden Air Cargo Airlines']",10247,11630,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport","Fairbanks, AK: Fairbanks International"
